# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.617994,0.001760,-0.000000,0.000000,0.139421,-0.144020,0.071972,-0.017508,0.001660,-0.014559,-0.000000,-0.000000,-0.324570,0.458340,-0.264603,0.070182,-0.007069,0.073220,-0.000000,-0.000000,1.603894,-2.263752,1.302986,-0.344699,0.034640,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,0.351298,0.256195,0.036339,0.009871,-0.012167,0.004977,-0.000939,0.000063,-0.210930,-0.070713,0.017637,-0.096247,0.122835,-0.069148,0.018188,-0.001826,0.971575,0.263103,-0.122091,0.454233,-0.577495,0.323152,-0.084635,0.008472,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,1.239628,0.394632,0.008096,-0.009478,0.010589,-0.007730,0.002410,-0.000274,-0.419340,-0.077577,0.005071,-0.024673,0.030030,-0.016302,0.004157,-0.000406,1.479235,0.058510,-0.075510,0.111514,-0.136551,0.074295,-0.018933,0.001848,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,2.250034,0.347585,-0.027050,-0.013784,0.017312,-0.011512,0.003426,-0.000377,-0.628464,-0.079832,0.001395,-0.003454,0.003528,-0.001901,0.000525,-0.000058,1.299693,-0.201045,-0.053454,0.016820,-0.007380,0.000000,0.000917,-0.000171,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,2.909527,0.138167,-0.050095,-0.012803,0.019022,-0.012288,0.003607,-0.000394,-0.837662,-0.079702,-0.000986,-0.003299,0.008735,-0.006919,0.002274,-0.000269,0.513219,-0.373537,-0.020333,-0.012532,0.032737,-0.022489,0.006753,-0.000748,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,2.909544,-0.135366,-0.050061,-0.009742,0.018646,-0.011683,0.003338,-0.000357,-1.047121,-0.078380,-0.000742,-0.011774,0.020536,-0.013462,0.003907,-0.000421,-0.513083,-0.373019,0.018850,-0.017419,0.033498,-0.020690,0.005745,-0.000599,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,2.249983,-0.345566,-0.026577,-0.004616,0.015499,-0.010468,0.003151,-0.000351,-1.256726,-0.078842,0.000768,-0.009947,0.015010,-0.009389,0.002677,-0.000287,-1.299229,-0.198929,0.047977,-0.007980,0.013339,-0.007931,0.002160,-0.000225,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,1.239494,-0.392360,0.009489,-0.006428,0.017179,-0.010807,0.003069,-0.000329,-1.466083,-0.079125,-0.000031,-0.007632,0.013266,-0.008968,0.002697,-0.000301,-1.477180,0.069962,0.052183,-0.006336,0.010738,-0.008056,0.002551,-0.000295,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,0.351046,-0.256229,0.040096,-0.006216,0.017572,-0.012340,0.003708,-0.000410,-1.675440,-0.078647,-0.000475,-0.010343,0.017642,-0.011433,0.003293,-0.000353,-0.964044,0.308027,0.033116,-0.016216,0.022952,-0.015534,0.004575,-0.000497,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,-0.000159,0.001397,0.054380,-0.010851,0.015499,-0.009800,0.002801,-0.000303,-1.885004,-0.079198,0.000349,-0.008280,0.013891,-0.009274,0.002765,-0.000306,-0.000167,0.401479,0.001359,-0.016504,0.016326,-0.009711,0.002692,-0.000284,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,0.351058,0.258296,0.040047,-0.012697,0.017341,-0.011756,0.003462,-0.000377,-2.094405,-0.078748,-0.000008,-0.009602,0.015799,-0.010234,0.002975,-0.000323,0.964286,0.307125,-0.035085,-0.011376,0.015904,-0.011207,0.003459,-0.000390,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,1.239469,0.394941,0.009628,-0.014337,0.016041,-0.010669,0.003174,-0.000351,-2.303794,-0.078910,-0.000167,-0.009180,0.015508,-0.010103,0.002933,-0.000317,1.477171,0.071150,-0.052321,-0.013544,0.020527,-0.012797,0.003652,-0.000390,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,2.249987,0.347856,-0.026637,-0.014961,0.017771,-0.011275,0.003253,-0.000351,-2.513281,-0.079216,-0.000087,-0.008398,0.015270,-0.010519,0.003180,-0.000354,1.299000,-0.198930,-0.045847,-0.007063,0.015655,-0.010086,0.002972,-0.000327,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,2.909545,0.137868,-0.050102,-0.010898,0.015971,-0.010340,0.003048,-0.000335,-2.722832,-0.078481,0.000765,-0.010421,0.015003,-0.009097,0.002550,-0.000271,0.513112,-0.374564,-0.018803,-0.006218,0.018898,-0.012459,0.003645,-0.000396,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,2.909567,-0.135656,-0.050410,-0.008493,0.018239,-0.012104,0.003604,-0.000397,-2.932001,-0.079150,-0.000978,-0.008150,0.015929,-0.010989,0.003288,-0.000362,-0.513072,-0.374760,0.018510,-0.005902,0.017236,-0.011509,0.003402,-0.000374,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,2.249954,-0.344857,-0.026247,-0.007396,0.017616,-0.010758,0.003005,-0.000317,-3.141685,-0.078947,0.000582,-0.009517,0.015179,-0.009869,0.002895,-0.000317,-1.299056,-0.198471,0.046416,-0.008758,0.016927,-0.010702,0.003020,-0.000321,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,1.239539,-0.393286,0.009165,-0.002628,0.013574,-0.009640,0.002980,-0.000339,-3.351047,-0.078720,0.000086,-0.009452,0.015128,-0.009641,0.002773,-0.000299,-1.477108,0.070130,0.051734,-0.009414,0.017221,-0.012578,0.003883,-0.000438,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,0.351008,-0.255432,0.040150,-0.009845,0.022400,-0.014986,0.004381,-0.000475,-3.560412,-0.079107,-0.000399,-0.008431,0.015369,-0.010457,0.003128,-0.000346,-0.964314,0.308329,0.035151,-0.017097,0.019375,-0.011822,0.003285,-0.000345,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,-0.000091,0.001539,0.054291,-0.011787,0.016124,-0.009495,0.002508,-0.000250,-3.769942,-0.078784,0.000140,-0.010164,0.016774,-0.010919,0.003181,-0.000345,0.000065,0.400876,-0.000265,-0.013070,0.014605,-0.009657,0.002830,-0.000307,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,0.350811,0.257142,0.041919,-0.005176,0.001954,-0.001340,0.000435,-0.000054,-3.979406,-0.078822,0.000458,-0.009090,0.013766,-0.008518,0.002398,-0.000254,0.964087,0.307215,-0.033711,-0.011059,0.012194,-0.008005,0.002427,-0.000274,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,1.239691,0.394263,0.007435,-0.009719,0.015205,-0.012818,0.004412,-0.000541,-4.188792,-0.079362,0.000052,-0.006062,0.010504,-0.007132,0.002160,-0.000243,1.477355,0.070766,-0.053958,-0.012151,0.023683,-0.017007,0.005360,-0.000619,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,2.250535,0.349575,-0.032721,-0.035637,0.074392,-0.057456,0.018861,-0.002245,-4.398118,-0.079094,-0.001299,-0.009554,0.021149,-0.016050,0.005210,-0.000615,1.299370,-0.197216,-0.049866,-0.024582,0.058678,-0.043755,0.014069,-0.001651,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.617994,2.911253,0.148460,-0.069573,-0.116308,0.262729,-0.201484,0.065907,-0.007834,-4.607253,-0.076868,-0.004778,-0.030217,0.067794,-0.051617,0.016794,-0.001988,0.514073,-0.367798,-0.030194,-0.073832,0.174857,-0.132966,0.043268,-0.005126,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
