# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.541667,0.020349,-0.000000,-0.000000,-0.040563,-0.023640,0.032590,-0.008307,0.000616,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.123615,-0.000000,-0.000000,0.097620,0.002386,-0.060873,0.023262,-0.002439,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
3.541667,0.568255,0.642050,-0.133317,-0.278360,0.062657,0.016955,-0.005475,0.000358,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.220774,0.296001,0.538006,-0.264694,0.090270,-0.057625,0.016840,-0.001570,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.541667,-0.195716,0.330119,0.420273,-0.159116,-0.054535,0.015716,0.001661,-0.000439,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.168005,-0.535426,0.287896,0.101060,0.059668,-0.074771,0.018745,-0.001470,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.541667,-0.436077,-0.517802,0.390871,0.098257,0.000782,-0.051481,0.015603,-0.001336,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.815237,-0.545936,-0.326007,0.127806,0.139893,-0.072168,0.011768,-0.000662,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.541667,-0.112850,-0.704622,-0.188837,0.156866,0.123124,-0.077293,0.014085,-0.000867,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.860606,0.233835,-0.478022,-0.134458,0.144929,-0.024214,0.000034,0.000147,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.541667,0.030544,0.048957,-0.496926,-0.053958,0.130154,-0.022444,-0.001110,0.000322,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.126713,0.643174,0.049195,-0.276473,0.024444,0.020822,-0.003863,0.000121,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.541667,-0.392727,0.712071,-0.092929,-0.236299,0.012819,0.034757,-0.008304,0.000534,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.589483,0.068637,0.501101,-0.084001,-0.051516,-0.004112,0.006786,-0.000827,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.541667,-0.806652,0.392736,0.449970,-0.133703,-0.061252,0.013204,0.002593,-0.000517,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.577666,-0.669208,0.241929,0.145273,0.045314,-0.070058,0.017666,-0.001377,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.541667,-0.483740,-0.414558,0.360575,0.114243,0.005252,-0.053028,0.015444,-0.001291,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.129420,-0.509789,-0.349137,0.112237,0.141003,-0.066243,0.009846,-0.000488,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.541667,0.381636,-0.538892,-0.242240,0.151569,0.129848,-0.077187,0.013747,-0.000837,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.035895,0.361445,-0.446533,-0.138643,0.127102,-0.017824,-0.000313,0.000093,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.541667,0.866997,0.200593,-0.499457,-0.085541,0.132458,-0.018451,-0.002281,0.000425,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.422209,0.775431,0.070808,-0.342785,0.167015,-0.072454,0.020325,-0.002084,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.541667,0.540555,0.711618,-0.045935,-0.209588,-0.040098,0.055027,-0.010856,0.000553,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.563485,0.228060,0.397042,-0.480200,0.699847,-0.447208,0.115866,-0.010489,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
