id,type,readonly,group,name
0,8,0,activeMarker,front
1,8,0,activeMarker,back
2,8,0,activeMarker,left
3,8,0,activeMarker,right
4,8,0,activeMarker,mode
5,8,0,activeMarker,poll
6,8,1,deck,bcActiveMarker
7,8,1,deck,bcAI
8,8,1,deck,bcBuzzer
9,8,1,deck,bcFlow
10,8,1,deck,bcFlow2
11,8,1,deck,bcLedRing
12,8,1,deck,bcLighthouse4
13,8,1,deck,bcDWM1000
14,8,1,deck,bcLoco
15,8,1,deck,bcMultiranger
16,8,1,deck,bcOA
17,8,1,deck,bcUSD
18,8,1,deck,bcZRanger
19,8,1,deck,bcZRanger2
20,8,0,motion,disable
21,8,0,motion,adaptive
22,6,0,motion,flowStdFixed
23,8,0,ring,effect
24,10,1,ring,neffect
25,8,0,ring,solidRed
26,8,0,ring,solidGreen
27,8,0,ring,solidBlue
28,8,0,ring,headlightEnable
29,6,0,ring,emptyCharge
30,6,0,ring,fullCharge
31,10,0,ring,fadeColor
32,6,0,ring,fadeTime
33,8,0,system,highlight
34,8,0,system,storageStats
35,8,0,system,storageReformat
36,8,0,system,taskDump
37,0,1,system,selftestPassed
38,0,0,system,forceArm
39,8,0,system,assertInfo
40,8,0,loco,mode
41,6,0,tdoa2,stddev
42,6,0,tdoa3,stddev
43,9,0,multiranger,filterMask
44,8,1,usd,canLog
45,8,0,usd,logging
46,8,0,led,bitmask
47,8,0,motorPowerSet,enable
48,9,0,motorPowerSet,m1
49,9,0,motorPowerSet,m2
50,9,0,motorPowerSet,m3
51,9,0,motorPowerSet,m4
52,6,0,pm,lowVoltage
53,6,0,pm,criticalLowVoltage
54,8,1,imu_sensors,BMP388
55,6,0,imu_sensors,imuPhi
56,6,0,imu_sensors,imuTheta
57,6,0,imu_sensors,imuPsi
58,8,1,imu_sensors,AK8963
59,8,1,imu_sensors,LPS25H
60,8,1,imu_tests,MPU6500
61,8,1,imu_tests,AK8963
62,8,1,imu_tests,LPS25H
63,6,0,imu_tests,imuPhi
64,6,0,imu_tests,imuTheta
65,6,0,imu_tests,imuPsi
66,8,0,syslink,probe
67,6,0,pid_attitude,roll_kp
68,6,0,pid_attitude,roll_ki
69,6,0,pid_attitude,roll_kd
70,6,0,pid_attitude,roll_kff
71,6,0,pid_attitude,pitch_kp
72,6,0,pid_attitude,pitch_ki
73,6,0,pid_attitude,pitch_kd
74,6,0,pid_attitude,pitch_kff
75,6,0,pid_attitude,yaw_kp
76,6,0,pid_attitude,yaw_ki
77,6,0,pid_attitude,yaw_kd
78,6,0,pid_attitude,yaw_kff
79,6,0,pid_attitude,yawMaxDelta
80,0,0,pid_attitude,attFiltEn
81,6,0,pid_attitude,attFiltCut
82,6,0,pid_rate,roll_kp
83,6,0,pid_rate,roll_ki
84,6,0,pid_rate,roll_kd
85,6,0,pid_rate,roll_kff
86,6,0,pid_rate,pitch_kp
87,6,0,pid_rate,pitch_ki
